NAME                                        	CHART VERSION	APP VERSION  	DESCRIPTION                                       
bitnami/nginx                               	13.2.32      	1.23.4       	NGINX Open Source is a web server that can be a...
bitnami/nginx-ingress-controller            	9.5.1        	1.7.0        	NGINX Ingress Controller is an Ingress controll...
bitnami/nginx-intel                         	2.1.15       	0.4.9        	DEPRECATED NGINX Open Source for Intel is a lig...
bitnami/node                                	19.1.7       	16.18.0      	DEPRECATED Node.js is a runtime environment bui...
bitnami/node-exporter                       	3.3.3        	1.5.0        	Prometheus exporter for hardware and OS metrics...
bitnami/oauth2-proxy                        	3.4.9        	7.4.0        	A reverse proxy and static file server that pro...
bitnami/odoo                                	23.0.10      	16.0.20230315	Odoo is an open source ERP and CRM platform, fo...
bitnami/opencart                            	13.0.11      	4.0.1-1      	OpenCart is free open source ecommerce platform...
bitnami/osclass                             	14.2.15      	8.1.1        	Osclass allows you to easily create a classifie...
bitnami/owncloud                            	12.2.11      	10.11.0      	DEPRECATED ownCloud is an open source content c...
bitnami/parse                               	20.0.5       	6.0.0        	Parse is a platform that enables users to add a...
bitnami/phpbb                               	12.3.14      	3.3.10       	phpBB is a popular bulletin board that features...
bitnami/phpmyadmin                          	10.4.5       	5.2.1        	phpMyAdmin is a free software tool written in P...
bitnami/pinniped                            	1.0.8        	0.22.0       	Pinniped is an identity service provider for Ku...
bitnami/postgresql                          	12.2.7       	15.2.0       	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql-ha                       	11.2.1       	15.2.0       	This PostgreSQL cluster solution includes the P...
bitnami/prestashop                          	16.0.7       	8.0.2        	PrestaShop is a powerful open source eCommerce ...
bitnami/pytorch                             	2.6.1        	1.13.1       	PyTorch is a deep learning platform that accele...
bitnami/rabbitmq                            	11.12.1      	3.11.11      	RabbitMQ is an open source general-purpose mess...
bitnami/rabbitmq-cluster-operator           	3.2.10       	2.2.0        	The RabbitMQ Cluster Kubernetes Operator automa...
bitnami/redis                               	17.9.3       	7.0.10       	Redis(R) is an open source, advanced key-value ...
bitnami/redis-cluster                       	8.4.2        	7.0.10       	Redis(R) is an open source, scalable, distribut...
bitnami/redmine                             	21.1.0       	5.0.5        	Redmine is an open source management applicatio...
bitnami/schema-registry                     	9.0.1        	7.3.2        	Confluent Schema Registry provides a RESTful in...
bitnami/sealed-secrets                      	1.2.11       	0.20.2       	Sealed Secrets are "one-way" encrypted K8s Secr...
bitnami/solr                                	7.2.1        	9.1.1        	Apache Solr is an extremely powerful, open sour...
bitnami/sonarqube                           	2.1.5        	9.9.0        	SonarQube(TM) is an open source quality managem...
bitnami/spark                               	6.4.1        	3.3.2        	Apache Spark is a high-performance engine for l...
bitnami/spring-cloud-dataflow               	16.0.1       	2.10.2       	Spring Cloud Data Flow is a microservices-based...
bitnami/suitecrm                            	11.2.12      	7.13.2       	SuiteCRM is a completely open source, enterpris...
bitnami/supabase                            	0.1.4        	0.23.2       	Supabase is an open source Firebase alternative...
bitnami/tensorflow-resnet                   	3.6.15       	2.11.1       	TensorFlow ResNet is a client utility for use w...
bitnami/thanos                              	12.4.0       	0.31.0       	Thanos is a highly available metrics system tha...
bitnami/tomcat                              	10.6.0       	10.1.7       	Apache Tomcat is an open-source web server desi...
bitnami/wavefront                           	4.2.13       	1.13.0       	Wavefront is a high-performance streaming analy...
bitnami/wavefront-adapter-for-istio         	2.0.6        	0.1.5        	DEPRECATED Wavefront Adapter for Istio is an ad...
bitnami/wavefront-hpa-adapter               	1.3.13       	0.9.10       	Wavefront HPA Adapter for Kubernetes is a Kuber...
bitnami/wavefront-prometheus-storage-adapter	2.1.13       	1.0.7        	Wavefront Storage Adapter is a Prometheus integ...
bitnami/whereabouts                         	0.1.4        	0.6.1        	Whereabouts is a CNI plugin for Kubernetes clus...
bitnami/wildfly                             	14.2.1       	27.0.1       	Wildfly is a lightweight, open source applicati...
bitnami/wordpress                           	15.2.60      	6.2.0        	WordPress is the world's most popular blogging ...
bitnami/wordpress-intel                     	2.1.31       	6.1.1        	DEPRECATED WordPress for Intel is the most popu...
bitnami/zookeeper                           	11.1.5       	3.8.1        	Apache ZooKeeper provides a reliable, centraliz...
